section,k,k_hex,pubkey_compressed,x,y
end,100741436555528905222282934786429520668475596642490298392302379885456411308878,0xdeb9a1e9022ff8ddecab559c3df7910d4ed827d41c39051b6640f159abb3b34e,b'\x02$c\xd6\\\xaf\xa3TF\xe0.4\xa3x\xeeUnv\xafnr9\xb3\x02\x1e\xf7C\xb8\xefJz\x8d}',16459659880940797368975864054712762141068567157784203569833727236830700146045,103489659726049188308590330481468803301076217751047198207568839219320433730434
end,100741436555528905222282934786429520668475596642490298392302379885456411308879,0xdeb9a1e9022ff8ddecab559c3df7910d4ed827d41c39051b6640f159abb3b34f,"b'\x03\xfb""\x1e$\xedT.\xab\n(\tN\xfa\x1c\xa4v|\xce\xff\x00y\t\xdd\xad\xb6\xee\r\xdcOQU\xfe'",113590805842544455997182117220533048788058665850142086143003043419966372140542,28441884120091223459008271378481593988151369879772553661647263934195544907955
end,100741436555528905222282934786429520668475596642490298392302379885456411308880,0xdeb9a1e9022ff8ddecab559c3df7910d4ed827d41c39051b6640f159abb3b350,b'\x03\xe5\x19\x0f\xfa\x93\xef!\x00\xb9Hw\xea0\xf027\x90\x8f\xe6\xc7\r8G\xc21\xfd\x89\xff\x87\xfa\xaby',103623923783948609997924012257808514722992237950348741679976552623434624576377,14037547223725801722053796415666482721800213425153051581309962336918600199455
end,100741436555528905222282934786429520668475596642490298392302379885456411308881,0xdeb9a1e9022ff8ddecab559c3df7910d4ed827d41c39051b6640f159abb3b351,"b""\x02\x00\xe25T\x05\xc8T\xc2\xbe\xc7'@tv\x0e\xab!\xc0\xd4\xce\x99k=\x9c4\x96\x88\x16\x173{\x99""",399675494440787690460464228409569101231966863654111714374537582868895595417,94624646889171531123488774896992081899835703944119517380228733988700288119838
end,100741436555528905222282934786429520668475596642490298392302379885456411308882,0xdeb9a1e9022ff8ddecab559c3df7910d4ed827d41c39051b6640f159abb3b352,b'\x03\x0f\xb8\x88\xb3\xbf@\xf8\xbfg<\xdf\x9a\xb8<H\x86@\xfc\x80\xcd\x94\x9fS\xe0\xd4\xb2f\xc6{1\xadG',7110736072143210982587156329557412135052417499263360661230627298960628362567,64786685697484158369012511383398761296979631499486657795792147645562494391873
end,100741436555528905222282934786429520668475596642490298392302379885456411308883,0xdeb9a1e9022ff8ddecab559c3df7910d4ed827d41c39051b6640f159abb3b353,b'\x02\xf4\xb5\x99\x90\x85\x91S\xe8\x98\x98\xb1\xd8\x9e\xfb\xae\xfe\xdf\x81\xd1\x1b%\xff\xf1\xe0\xc6v\\\x9aL\xc9\x02\x9b',110685194236531584520705209942669499169417979988206485644673214024858221478555,59001312182879933962631864479977367493410699054133818689380796544275334412980
end,100741436555528905222282934786429520668475596642490298392302379885456411308884,0xdeb9a1e9022ff8ddecab559c3df7910d4ed827d41c39051b6640f159abb3b354,b'\x03\xd7\xfd\xe5j\xbc\x85]5*X\xd4;\xd8\x8d\xc17\x9c\x8d\xc9\xddp\xef\xcf\x91\x16by\x0e\xe1\tJ@',97695858130312540131906943899092602744170012134086564834515969898258155260480,29904503972471909267087965549854511261540928563579671978157082467754452539971
end,100741436555528905222282934786429520668475596642490298392302379885456411308885,0xdeb9a1e9022ff8ddecab559c3df7910d4ed827d41c39051b6640f159abb3b355,b'\x02V\x9b\xdb\x96.\xa1\xf2AM\x8b\xef\xc8\xf7``4\xc2\xac9\xeb\x95\x13SA\xc4\xc9\x86\xfd\x83\xda\x8b\xd6',39174281804554492441362276683226069098893912634829790265294522965917620145110,6499538903279804911144698787528517080115084406116665694038589788878639551294
end,100741436555528905222282934786429520668475596642490298392302379885456411308886,0xdeb9a1e9022ff8ddecab559c3df7910d4ed827d41c39051b6640f159abb3b356,b'\x02\xe1\xcc(\xb2\x12\xca[r\xe1.\xea\xe7N\xfb\xc4\xcc\xc0\xe7\x87-\xe1\xd2V\xe5tm\x83}\xfeZ\xeb\xb3',102131108603152972345250163001443936422515814208216976294573176107098487581619,108320587034240521665351834359308971337371386173732257015113669480687928203338
end,100741436555528905222282934786429520668475596642490298392302379885456411308887,0xdeb9a1e9022ff8ddecab559c3df7910d4ed827d41c39051b6640f159abb3b357,b'\x02\x8d\x1e\xe9\xe1\t\xbbm\x8a\xd4!\xa9\xc9\x18\x9f\x0bad\x88\xd9imd\xcb\x07\x94\xa5\x0b\x08\xa5\xa4\x17\xeb',63830731236095628591542725557066326050155325201576653430912973016304453949419,37581749308296180725453569517173535955988414383247376866302536455378886989260
